"Name
","Description
"
"_autosave
","Autosave
"
"_autosavedangerous
","AutoSaveDangerous
"
"_bugreporter_restart
","Restarts bug reporter .dll
"
"_record
","Record a demo incrementally.
"
"_resetgamestats
","Erases current game stats and writes out a blank stats file.
"
"_restart
","Shutdown and restart the engine.
"
"addip
","Add an IP address to the ban list.
"
"adsp_reset_nodes
","
"
"ai_clear_bad_links
","Clears bits set on nav links indicating link is unusable.
"
"ai_debug_node_connect
","Debug the attempted connection between two nodes.
"
"ai_disable
","Bi-passes all AI logic routines and puts all NPCs into their idle animations.  Can be used to get NPCs out of your way and to test effect of AI logic routines on frame rate.
"
"ai_drop_hint
","Drop an ai_hint at the player's current eye position.
"
"ai_dump_hints
","
"
"ai_hull
","Controls which connections are shown when ai_show_hull or ai_show_connect commands are used
Arguments:	NPC name or classname, <none>=NPC under crosshair

"
"ai_next_hull
","Cycles through the various hull sizes.  Currently selected hull size is written to the screen.  Controls which connections are shown when ai_show_hull or ai_show_connect commands are used
Arguments:	-none-

"
"ai_nodes
","Toggles node display.  First call displays the nodes for the given network as green objects.  Second call  displays the nodes and their IDs.  Nodes are color coded as follows:
Green		- ground node
Cyan		- air node
Magenta		- climb node
Grey		- node not available for selected hull size
Orange		- node currently locked

"
"ai_resume
","If NPC is stepping through tasks (see ai_step ) will resume normal processing.
"
"ai_set_move_height_epsilon
","Set how high AI bumps up ground walkers when checking steps.
"
"ai_setenabled
","Like ai_disable but you manually specify the state (with a 0 or 1) instead of toggling it.
"
"ai_show_connect
","Displays the allowed connections between each node for the currently selected hull type.  Hulls are color code as follows:
Green		- ground movement
Blue		- jumping movement
Cyan		- flying movement
Yellow		- crawling movement
Magenta		- climbing movement
Red		- connection disabled

"
"ai_show_connect_crawl
","Displays the allowed connections between each node for the currently selected hull type.  Hulls are color code as follows:
Green		- ground movement
Blue		- jumping movement
Cyan		- flying movement
Yellow		- crawling movement
Magenta		- climbing movement
Red		- connection disabled

"
"ai_show_connect_fly
","Displays the allowed connections between each node for the currently selected hull type.  Hulls are color code as follows:
Green		- ground movement
Blue		- jumping movement
Cyan		- flying movement
Yellow		- crawling movement
Magenta		- climbing movement
Red		- connection disabled

"
"ai_show_connect_jump
","Displays the allowed connections between each node for the currently selected hull type.  Hulls are color code as follows:
Green		- ground movement
Blue		- jumping movement
Cyan		- flying movement
Yellow		- crawling movement
Magenta		- climbing movement
Red		- connection disabled

"
"ai_show_graph_connect
","Toggles graph connection display for the node that the player is looking at.  Nodes that are connected to the selected node by the net graph will be drawn in red with magenta lines connecting to the selected node.  Nodes that are not connected via the net graph from the selected node will be drawn in blue.
"
"ai_show_grid
","Draw a grid on the floor where looking.
"
"ai_show_hints
","Displays all hints as small boxes
Blue		- hint is available for use
Red		- hint is currently being used by an NPC
Orange		- hint not being used by timed out
Grey		- hint has been disabled

"
